"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\categories\windows\view_categories_widget.dart", "Dart", 106, 1, 3, 110
"d:\Flutter\old_version\lib\view\home\desktop\home_logo.dart", "Dart", 14, 0, 2, 16
"d:\Flutter\old_version\lib\view\home\desktop\home_screen_windows.dart", "Dart", 33, 0, 3, 36
"d:\Flutter\old_version\lib\view\home\desktop\home_widget_list.dart", "Dart", 93, 1, 4, 98
"d:\Flutter\old_version\lib\view\home\drawer\acount_screen.dart", "Dart", 170, 0, 4, 174
"d:\Flutter\old_version\lib\view\home\drawer\add_admin_screen.dart", "Dart", 187, 0, 3, 190
"d:\Flutter\old_version\lib\view\home\drawer\custom_home_drawer.dart", "Dart", 169, 0, 3, 172
"d:\Flutter\old_version\lib\view\home\home_screen.dart", "Dart", 36, 0, 3, 39
"d:\Flutter\old_version\lib\view\home\mobile\home_logo_mobile.dart", "Dart", 11, 0, 2, 13
"d:\Flutter\old_version\lib\view\home\mobile\home_screen_mobile.dart", "Dart", 30, 0, 3, 33
"d:\Flutter\old_version\lib\view\home\mobile\how_widget_list_mobile.dart", "Dart", 73, 1, 2, 76
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_add_widget.dart", "Dart", 122, 0, 3, 125
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_screen.dart", "Dart", 96, 5, 5, 106
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_search_widget.dart", "Dart", 229, 0, 3, 232
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_table_widget.dart", "Dart", 182, 14, 6, 202
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_add_widget.dart", "Dart", 117, 0, 3, 120
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_screen.dart", "Dart", 87, 5, 4, 96
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_search_widget.dart", "Dart", 222, 0, 3, 225
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_table_widget.dart", "Dart", 180, 14, 6, 200
"d:\Flutter\old_version\lib\view\import_export\import_export_screen.dart", "Dart", 18, 0, 4, 22
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_add_widget_mobile.dart", "Dart", 120, 0, 3, 123
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_screen_mobile.dart", "Dart", 58, 0, 4, 62
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_search_widget_mobile.dart", "Dart", 178, 0, 3, 181
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_add_widget_mobile.dart", "Dart", 112, 0, 3, 115
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_screen_mobile.dart", "Dart", 106, 0, 4, 110
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_search_widget_mobile.dart", "Dart", 173, 0, 3, 176
"d:\Flutter\old_version\lib\view\import_export\shared\custom_drop_down_impexp.dart", "Dart", 116, 1, 5, 122
"d:\Flutter\old_version\lib\view\import_export\shared\custom_expansion_tile.dart", "Dart", 67, 0, 3, 70
"d:\Flutter\old_version\lib\view\import_export\shared\edit_import_export.dart", "Dart", 114, 0, 4, 118
"d:\Flutter\old_version\lib\view\inventory\components\inventory_custom_stack.dart", "Dart", 38, 9, 3, 50
"d:\Flutter\old_version\lib\view\inventory\inventory_screen.dart", "Dart", 16, 0, 3, 19
"d:\Flutter\old_version\lib\view\inventory\mobile\inventory_screen_mobile.dart", "Dart", 291, 2, 5, 298
"d:\Flutter\old_version\lib\view\inventory\windows\box\all_invoices_table_box.dart", "Dart", 143, 0, 4, 147
"d:\Flutter\old_version\lib\view\inventory\windows\box\box_table_rows.dart", "Dart", 172, 0, 4, 176
"d:\Flutter\old_version\lib\view\inventory\windows\box\custom_box_widget.dart", "Dart", 239, 4, 3, 246
"d:\Flutter\old_version\lib\view\inventory\windows\budget\budget_screen.dart", "Dart", 141, 0, 7, 148
"d:\Flutter\old_version\lib\view\inventory\windows\creditor\creditor_table_rows.dart", "Dart", 116, 0, 3, 119
"d:\Flutter\old_version\lib\view\inventory\windows\creditor\view_creditor_details.dart", "Dart", 173, 3, 4, 180
"d:\Flutter\old_version\lib\view\inventory\windows\custom_drop_down_inventory.dart", "Dart", 104, 17, 5, 126
"d:\Flutter\old_version\lib\view\inventory\windows\debtor\debtor_table_rows.dart", "Dart", 116, 0, 3, 119
"d:\Flutter\old_version\lib\view\inventory\windows\debtor\view_debtor_details.dart", "Dart", 156, 4, 5, 165
"d:\Flutter\old_version\lib\view\inventory\windows\expense\expense_table_rows.dart", "Dart", 187, 0, 4, 191
"d:\Flutter\old_version\lib\view\inventory\windows\export\export_table_rows.dart", "Dart", 193, 0, 4, 197
"d:\Flutter\old_version\lib\view\inventory\windows\import\import_table_rows.dart", "Dart", 192, 1, 3, 196
"d:\Flutter\old_version\lib\view\inventory\windows\inventory_screen_windows.dart", "Dart", 226, 2, 4, 232
"d:\Flutter\old_version\lib\view\inventory\windows\profits\profits_table_rows.dart", "Dart", 215, 0, 3, 218
"d:\Flutter\old_version\lib\view\inventory\windows\total_profit\all_invoices_table.dart", "Dart", 140, 0, 4, 144
"d:\Flutter\old_version\lib\view\inventory\windows\total_profit\custom_total_profits_widgets.dart", "Dart", 126, 3, 3, 132
"d:\Flutter\old_version\lib\view\items\items_screen.dart", "Dart", 14, 0, 4, 18
"d:\Flutter\old_version\lib\view\items\mobile\add_items_screen_mobile.dart", "Dart", 27, 0, 3, 30
"d:\Flutter\old_version\lib\view\items\mobile\items_screen_mobile.dart", "Dart", 129, 0, 5, 134
"d:\Flutter\old_version\lib\view\items\mobile\update_items_screen_mobile.dart", "Dart", 27, 0, 3, 30
"d:\Flutter\old_version\lib\view\items\widget\custom_add_items.dart", "Dart", 166, 5, 4, 175
"d:\Flutter\old_version\lib\view\items\widget\custom_show_items.dart", "Dart", 237, 0, 4, 241
"d:\Flutter\old_version\lib\view\items\widget\custom_update_widget.dart", "Dart", 167, 5, 5, 177
"d:\Flutter\old_version\lib\view\items\widget\mobile_action_widget.dart", "Dart", 188, 0, 6, 194
"d:\Flutter\old_version\lib\view\items\windows\items_add_screen.dart", "Dart", 91, 0, 3, 94
"d:\Flutter\old_version\lib\view\items\windows\items_screen_windows.dart", "Dart", 228, 0, 4, 232
"d:\Flutter\old_version\lib\view\items\windows\items_update_screen.dart", "Dart", 60, 0, 3, 63
"d:\Flutter\old_version\lib\view\settings\components\back_up_widget.dart", "Dart", 183, 1, 7, 191
"d:\Flutter\old_version\lib\view\settings\components\custom_dropdown_setting.dart", "Dart", 165, 2, 8, 175
"d:\Flutter\old_version\lib\view\settings\components\custom_textfield_setting.dart", "Dart", 51, 1, 3, 55
"d:\Flutter\old_version\lib\view\settings\components\language_card.dart", "Dart", 45, 0, 3, 48
"d:\Flutter\old_version\lib\view\settings\components\security_widget.dart", "Dart", 155, 0, 3, 158
"d:\Flutter\old_version\lib\view\settings\invoices\custom_drop_down_items_invoice.dart", "Dart", 153, 1, 6, 160
"d:\Flutter\old_version\lib\view\settings\invoices\mobile\invoice_screen_mobile.dart", "Dart", 77, 0, 3, 80
"d:\Flutter\old_version\lib\view\settings\invoices\shared\design_barcode.dart", "Dart", 126, 5, 5, 136
"d:\Flutter\old_version\lib\view\settings\invoices\shared\design_page.dart", "Dart", 622, 50, 4, 676
"d:\Flutter\old_version\lib\view\settings\invoices\shared\printing_barcode.dart", "Dart", 47, 0, 3, 50
"d:\Flutter\old_version\lib\view\settings\invoices\shared\printing_widget.dart", "Dart", 251, 1, 6, 258
"d:\Flutter\old_version\lib\view\settings\invoices\windows\invoices_screen_windows.dart", "Dart", 103, 2, 4, 109
"d:\Flutter\old_version\lib\view\settings\mobile\back_up_screen_mobile.dart", "Dart", 19, 0, 3, 22
"d:\Flutter\old_version\lib\view\settings\mobile\customers_details_mobile.dart", "Dart", 139, 3, 4, 146
"d:\Flutter\old_version\lib\view\settings\mobile\language_screen_mobile.dart", "Dart", 49, 0, 3, 52
"d:\Flutter\old_version\lib\view\settings\mobile\security_screen_mobile.dart", "Dart", 24, 0, 3, 27
"d:\Flutter\old_version\lib\view\settings\mobile\setting_screen_mobile.dart", "Dart", 83, 2, 3, 88
"d:\Flutter\old_version\lib\view\settings\mobile\system_update_mobile.dart", "Dart", 90, 1, 3, 94
"d:\Flutter\old_version\lib\view\settings\setting_screen.dart", "Dart", 20, 0, 3, 23
"d:\Flutter\old_version\lib\view\settings\windows\right_side_widget.dart", "Dart", 96, 4, 3, 103
"d:\Flutter\old_version\lib\view\settings\windows\setting_screen_windows.dart", "Dart", 39, 0, 3, 42
"d:\Flutter\old_version\lib\view\settings\windows\tabs\backup_screen_windows.dart", "Dart", 25, 0, 3, 28
"d:\Flutter\old_version\lib\view\settings\windows\tabs\currency_windows.dart", "Dart", 47, 0, 3, 50
"d:\Flutter\old_version\lib\view\settings\windows\tabs\customers_details_windows.dart", "Dart", 236, 0, 3, 239
"d:\Flutter\old_version\lib\view\settings\windows\tabs\language_screen_windows.dart", "Dart", 51, 0, 3, 54
"d:\Flutter\old_version\lib\view\settings\windows\tabs\security_screen_windows.dart", "Dart", 26, 0, 3, 29
"d:\Flutter\old_version\lib\view\settings\windows\tabs\system_update_screen_windows.dart", "Dart", 99, 1, 3, 103
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell.dart", "Dart", 29, 0, 2, 31
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell_change_number.dart", "Dart", 46, 0, 2, 48
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_headers.dart", "Dart", 26, 0, 2, 28
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_widget.dart", "Dart", 56, 16, 5, 77
"Total", "-", 31807, 1102, 1836, 34745
