"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\items\mobile\items_add_screen_mobile.dart", "Dart", 28, 0, 3, 31
"d:\Flutter\old_version\lib\view\items\mobile\items_edit_screen_mobile.dart", "Dart", 28, 0, 3, 31
"d:\Flutter\old_version\lib\view\items\mobile\items_screen_mobile.dart", "Dart", -129, 0, -5, -134
"d:\Flutter\old_version\lib\view\items\mobile\items_view_screen_mobile.dart", "Dart", 76, 0, 5, 81
"d:\Flutter\old_version\lib\view\items\mobile\update_items_screen_mobile.dart", "Dart", -27, 0, -3, -30
"d:\Flutter\old_version\lib\view\items\widget\custom_add_items.dart", "Dart", 132, 0, 0, 132
"d:\Flutter\old_version\lib\view\items\widget\custom_show_items.dart", "Dart", 99, 13, 5, 117
"d:\Flutter\old_version\lib\view\items\widget\custom_update_widget.dart", "Dart", -5, -3, -1, -9
"d:\Flutter\old_version\lib\view\items\widget\items_button_actions.dart", "Dart", 78, 0, 2, 80
"d:\Flutter\old_version\lib\view\items\widget\items_details_dialog.dart", "Dart", 150, 0, 10, 160
"d:\Flutter\old_version\lib\view\items\widget\mobile_action_widget.dart", "Dart", -25, 0, 0, -25
"d:\Flutter\old_version\lib\view\items\widget\upload_image.dart", "Dart", 73, 0, 5, 78
"d:\Flutter\old_version\lib\view\items\windows\items_add_screen.dart", "Dart", -91, 0, -3, -94
"d:\Flutter\old_version\lib\view\items\windows\items_add_screen_windows.dart", "Dart", 72, 0, 3, 75
"d:\Flutter\old_version\lib\view\items\windows\items_screen_windows.dart", "Dart", -228, 0, -4, -232
"d:\Flutter\old_version\lib\view\items\windows\items_update_screen.dart", "Dart", -60, 0, -3, -63
"d:\Flutter\old_version\lib\view\items\windows\items_update_screen_windows.dart", "Dart", 38, 0, 3, 41
"d:\Flutter\old_version\lib\view\items\windows\items_view_screen_windows.dart", "Dart", 182, 0, 4, 186
"d:\Flutter\old_version\lib\view\reports\billing_profits\billing_profits_screen.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\view\reports\components\drop_down_accounts_search.dart", "Dart", 133, 0, 4, 137
"d:\Flutter\old_version\lib\view\reports\components\reports_action_buttons.dart", "Dart", 60, 1, 2, 63
"d:\Flutter\old_version\lib\view\reports\daily_reports\account_statement\account_statement_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\daily_reports\bank\bank_table.dart", "Dart", 72, 5, 3, 80
"d:\Flutter\old_version\lib\view\reports\daily_reports\box\box_table.dart", "Dart", 68, 5, 3, 76
"d:\Flutter\old_version\lib\view\reports\daily_reports\customer\customer_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\daily_reports\daily_reports_screen.dart", "Dart", 231, 2, 3, 236
"d:\Flutter\old_version\lib\view\reports\daily_reports\general_ledger\general_ledger_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\daily_reports\retained_earnings\retained_earnings_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\daily_reports\supplier\supplier_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\daily_reports\trial_balance\trial_balance_table.dart", "Dart", 65, 5, 3, 73
